epoch,train_loss,valid_loss,foreground_acc,dice_multi,jaccard_coeff_multi
1,0.13672855496406555,0.10745391994714737,0.4761742651462555,0.6940322689606259,0.5613289251754243
2,0.1207486018538475,0.09332923591136932,0.5728288888931274,0.7225050171161111,0.5929854033705729
3,0.11255848407745361,0.11030127853155136,0.5984468460083008,0.6192498167008903,0.5209147279817159
4,0.10570760071277618,0.0773981586098671,0.7657694816589355,0.7894086877048734,0.6713991891146894
5,0.10140454024076462,0.09833374619483948,0.8464641571044922,0.7700255113356483,0.6459923890700302
6,0.09622512012720108,0.08150141686201096,0.8577758073806763,0.7927589926307229,0.6729949909441543
7,0.0946519523859024,0.06989990919828415,0.8229069709777832,0.8109760055385705,0.6985201051675466
8,0.08933519572019577,0.06496428698301315,0.7986477017402649,0.8235116584870941,0.7156876169647663
9,0.0864190012216568,0.06487580388784409,0.778590738773346,0.8221467080512957,0.7140881409640335
10,0.0831456109881401,0.06365619599819183,0.7610299587249756,0.8167420749982739,0.7076137435706706
11,0.08143613487482071,0.06308993697166443,0.7473168969154358,0.8109616655897391,0.7010384525778625
12,0.07826977968215942,0.06251473724842072,0.7421034574508667,0.8096533676562604,0.7000861206965506
